scenario_id,scenario_name,visual_score,sensor_score,final_risk_score,final_risk,consensus_state,expected_risk,risk_pass,expected_alert,alert_pass,overall_pass,timestamp
1,Normal Conveyor Operation,0.4528,0.34317,0.40895,NORMAL,NOMINAL_OPERATION,NORMAL,True,CMD_STATUS_NORMAL,True,True,2026-09-10T12:08:12.856907
2,Early Joint Fatigue (Pre-Rupture Warning),0.65991,0.34317,0.65991,WARNING,ELEVATED_INSPECTION_ZONE,WARNING,True,CMD_ALERT_WARNING,True,True,2026-09-10T12:08:12.856907
3,Severe Joint Rupture (Visual CRITICAL),0.79867,0.87315,0.92315,CRITICAL,CONFIRMED_MULTIMODAL_EMERGENCY,CRITICAL,True,CMD_EMERGENCY_HALT_BUZZER_ON,True,True,2026-09-10T12:08:12.858911
4,General Belt Damage -- Sensor Dominant (No Joint Visible),0.43544,0.93492,0.93492,CRITICAL,SENSOR_DOMINANT_MECHANICAL_DISTRESS,CRITICAL,True,CMD_EMERGENCY_HALT_BUZZER_ON,True,True,2026-09-10T12:08:12.858911
5,Sensor Anomaly on Normal Belt (Bearing Overheat),0.51587,0.85606,0.85606,CRITICAL,SENSOR_DOMINANT_MECHANICAL_DISTRESS,CRITICAL,True,CMD_EMERGENCY_HALT_BUZZER_ON,True,True,2026-09-10T12:08:12.858911
