Original_File,Status,Reason
frame_0144.jpg,REMOVED,BLURRY
frame_0145.jpg,REMOVED,BLURRY
frame_0146.jpg,REMOVED,BLURRY
frame_0147.jpg,REMOVED,BLURRY
frame_0148.jpg,REMOVED,BLURRY
frame_0149.jpg,REMOVED,BLURRY
frame_0150.jpg,REMOVED,BLURRY
frame_0151.jpg,REMOVED,BLURRY
frame_0152.jpg,REMOVED,BLURRY
frame_0153.jpg,REMOVED,BLURRY
frame_0154.jpg,REMOVED,BLURRY
frame_0155.jpg,REMOVED,BLURRY
frame_0156.jpg,REMOVED,BLURRY
frame_0157.jpg,REMOVED,BLURRY
frame_0158.jpg,REMOVED,BLURRY
frame_0159.jpg,REMOVED,BLURRY
frame_0160.jpg,REMOVED,BLURRY
frame_0161.jpg,REMOVED,BLURRY
frame_0162.jpg,REMOVED,BLURRY
frame_0163.jpg,REMOVED,BLURRY
frame_0164.jpg,REMOVED,BLURRY
frame_0165.jpg,REMOVED,BLURRY
frame_0166.jpg,REMOVED,BLURRY
frame_0167.jpg,REMOVED,BLURRY
frame_0168.jpg,REMOVED,BLURRY
frame_0169.jpg,REMOVED,BLURRY
frame_0170.jpg,REMOVED,BLURRY
frame_0171.jpg,REMOVED,BLURRY
frame_0172.jpg,REMOVED,BLURRY
frame_0173.jpg,REMOVED,BLURRY
frame_0174.jpg,REMOVED,BLURRY
frame_0175.jpg,REMOVED,BLURRY
frame_0176.jpg,REMOVED,BLURRY
frame_0177.jpg,REMOVED,BLURRY
frame_0178.jpg,REMOVED,BLURRY
frame_0179.jpg,REMOVED,BLURRY
frame_0180.jpg,KEPT,GOOD
frame_0181.jpg,REMOVED,BLURRY
frame_0182.jpg,REMOVED,BLURRY
frame_0183.jpg,REMOVED,BLURRY
frame_0184.jpg,REMOVED,BLURRY
frame_0185.jpg,REMOVED,BLURRY
frame_0186.jpg,REMOVED,BLURRY
frame_0187.jpg,REMOVED,DUPLICATE
frame_0188.jpg,REMOVED,DUPLICATE
frame_0189.jpg,REMOVED,DUPLICATE
frame_0190.jpg,REMOVED,DUPLICATE
frame_0191.jpg,REMOVED,DUPLICATE
frame_0192.jpg,REMOVED,DUPLICATE
frame_0193.jpg,KEPT,GOOD
frame_0194.jpg,REMOVED,DUPLICATE
frame_0195.jpg,REMOVED,DUPLICATE
frame_0196.jpg,REMOVED,DUPLICATE
frame_0197.jpg,REMOVED,DUPLICATE
frame_0198.jpg,REMOVED,DUPLICATE
frame_0199.jpg,REMOVED,DUPLICATE
frame_0200.jpg,REMOVED,DUPLICATE
frame_0201.jpg,REMOVED,DUPLICATE
frame_0202.jpg,REMOVED,DUPLICATE
frame_0203.jpg,REMOVED,DUPLICATE
frame_0204.jpg,REMOVED,DUPLICATE
frame_0205.jpg,REMOVED,DUPLICATE
frame_0206.jpg,REMOVED,DUPLICATE
frame_0207.jpg,REMOVED,DUPLICATE
frame_0208.jpg,REMOVED,DUPLICATE
frame_0209.jpg,REMOVED,DUPLICATE
frame_0210.jpg,REMOVED,DUPLICATE
frame_0211.jpg,REMOVED,DUPLICATE
frame_0212.jpg,KEPT,GOOD
frame_0213.jpg,REMOVED,DUPLICATE
frame_0214.jpg,REMOVED,DUPLICATE
frame_0215.jpg,REMOVED,DUPLICATE
frame_0216.jpg,REMOVED,DUPLICATE
frame_0217.jpg,REMOVED,DUPLICATE
frame_0218.jpg,REMOVED,BLURRY
frame_0219.jpg,REMOVED,BLURRY
frame_0220.jpg,REMOVED,BLURRY
frame_0221.jpg,REMOVED,BLURRY
frame_0222.jpg,REMOVED,BLURRY
frame_0223.jpg,REMOVED,BLURRY
frame_0224.jpg,REMOVED,BLURRY
frame_0225.jpg,REMOVED,BLURRY
frame_0226.jpg,REMOVED,BLURRY
frame_0227.jpg,REMOVED,BLURRY
frame_0228.jpg,REMOVED,BLURRY
frame_0229.jpg,REMOVED,BLURRY
frame_0230.jpg,REMOVED,BLURRY
frame_0231.jpg,REMOVED,BLURRY
frame_0232.jpg,REMOVED,BLURRY
frame_0233.jpg,REMOVED,BLURRY
frame_0234.jpg,REMOVED,BLURRY
frame_0235.jpg,REMOVED,BLURRY
frame_0236.jpg,REMOVED,BLURRY
frame_0237.jpg,REMOVED,BLURRY
frame_0238.jpg,REMOVED,BLURRY
frame_0239.jpg,REMOVED,BLURRY
frame_0240.jpg,REMOVED,BLURRY
frame_0241.jpg,REMOVED,BLURRY
frame_0242.jpg,REMOVED,BLURRY
frame_0243.jpg,REMOVED,BLURRY
frame_0244.jpg,REMOVED,BLURRY
frame_0245.jpg,REMOVED,BLURRY
frame_0246.jpg,REMOVED,BLURRY
frame_0247.jpg,REMOVED,BLURRY
frame_0248.jpg,REMOVED,BLURRY
